0:0:0:0:0:0:0:1 - - [04/Dec/2023:09:29:02 +0900] "GET /cbs/resources/assets/img/brand/%EA%B8%B0%ED%9B%84%ED%96%89%EB%8F%99%201.5.png HTTP/1.1" 200 6739
0:0:0:0:0:0:0:1 - - [04/Dec/2023:09:29:02 +0900] "GET /assets/img/carousel/%EA%B7%B8%EB%9E%98%ED%94%84.png HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [04/Dec/2023:09:29:02 +0900] "GET /cbs/resources/vendor/@fortawesome/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 75728
0:0:0:0:0:0:0:1 - - [04/Dec/2023:09:29:02 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [04/Dec/2023:09:30:24 +0900] "GET /cbs/result HTTP/1.1" 200 70487
0:0:0:0:0:0:0:1 - - [04/Dec/2023:09:30:24 +0900] "GET /assets/img/carousel/%EA%B7%B8%EB%9E%98%ED%94%84.png HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [04/Dec/2023:09:30:24 +0900] "GET /cbs/resources/vendor/@fortawesome/fontawesome-free/css/all.min.css HTTP/1.1" 200 71815
0:0:0:0:0:0:0:1 - - [04/Dec/2023:09:30:24 +0900] "GET /cbs/css/neumorphism.css HTTP/1.1" 200 697873
0:0:0:0:0:0:0:1 - - [04/Dec/2023:09:30:24 +0900] "GET /cbs/vendor/jquery/dist/jquery.min.js HTTP/1.1" 200 89493
0:0:0:0:0:0:0:1 - - [04/Dec/2023:09:30:24 +0900] "GET /cbs/vendor/popper.js/dist/umd/popper.min.js HTTP/1.1" 200 21257
0:0:0:0:0:0:0:1 - - [04/Dec/2023:09:30:24 +0900] "GET /cbs/vendor/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 200 58072
0:0:0:0:0:0:0:1 - - [04/Dec/2023:09:30:24 +0900] "GET /cbs/vendor/headroom.js/dist/headroom.min.js HTTP/1.1" 200 4403
